file_name,AI,MSE,manipulation
stable-diffusion-v1-57.png,1,0.008450299501419,Crop-20%
stable-diffusion-v1-57.png,1,0.0040517598390579,Crop-40%
stable-diffusion-v1-57.png,1,0.0044362992048263,Rotation-20deg
stable-diffusion-v1-57.png,1,0.0082965502515435,Rotation-40deg
stable-diffusion-v1-57.png,1,0.0053485380485653,Scale-140%
stable-diffusion-v1-57.png,1,0.0041205985471606,Scale-60%
stable-diffusion-v1-57.png,1,0.0058373901993036,Blur-Radius-0.5px
stable-diffusion-v1-57.png,1,0.0084124337881803,Blur-Radius-1px
stable-diffusion-v1-58.png,1,0.0110841356217861,none
stable-diffusion-v1-58.png,1,0.0371658578515052,JPEG-Quality-85
stable-diffusion-v1-58.png,1,0.034397467970848,JPEG-Quality-70
stable-diffusion-v1-58.png,1,0.0226210430264472,Crop-20%
stable-diffusion-v1-58.png,1,0.1827916800975799,Crop-40%
stable-diffusion-v1-58.png,1,0.0225634686648845,Rotation-20deg
stable-diffusion-v1-58.png,1,0.140021726489067,Rotation-40deg
stable-diffusion-v1-58.png,1,0.011913588270545,Scale-140%
stable-diffusion-v1-58.png,1,0.0559012927114963,Scale-60%
stable-diffusion-v1-58.png,1,0.0125158745795488,Blur-Radius-0.5px
stable-diffusion-v1-58.png,1,0.0529269129037857,Blur-Radius-1px
stable-diffusion-v1-59.png,1,0.0059419460594654,none
stable-diffusion-v1-59.png,1,0.005886061117053,JPEG-Quality-85
stable-diffusion-v1-59.png,1,0.0062674288637936,JPEG-Quality-70
stable-diffusion-v1-59.png,1,0.0084991250187158,Crop-20%
stable-diffusion-v1-59.png,1,0.0119396159425377,Crop-40%
stable-diffusion-v1-59.png,1,0.0066661769524216,Rotation-20deg
stable-diffusion-v1-59.png,1,0.0137345045804977,Rotation-40deg
stable-diffusion-v1-59.png,1,0.0063210278749465,Scale-140%
stable-diffusion-v1-59.png,1,0.0091006569564342,Scale-60%
stable-diffusion-v1-59.png,1,0.0062135839834809,Blur-Radius-0.5px
stable-diffusion-v1-59.png,1,0.0155830793082714,Blur-Radius-1px
stable-diffusion-v1-510.png,1,0.0192213393747806,none
stable-diffusion-v1-510.png,1,0.0185557082295417,JPEG-Quality-85
stable-diffusion-v1-510.png,1,0.0185788385570049,JPEG-Quality-70
stable-diffusion-v1-510.png,1,0.0150035973638296,Crop-20%
stable-diffusion-v1-510.png,1,0.0182659924030303,Crop-40%
stable-diffusion-v1-510.png,1,0.0093101961538195,Rotation-20deg
stable-diffusion-v1-510.png,1,0.0199199616909027,Rotation-40deg
stable-diffusion-v1-510.png,1,0.0176871344447135,Scale-140%
stable-diffusion-v1-510.png,1,0.0145287904888391,Scale-60%
stable-diffusion-v1-510.png,1,0.0152645148336887,Blur-Radius-0.5px
stable-diffusion-v1-510.png,1,0.0112923588603734,Blur-Radius-1px
stable-diffusion-v1-511.png,1,0.0037078252062201,none
stable-diffusion-v1-511.png,1,0.0038500553928315,JPEG-Quality-85
stable-diffusion-v1-511.png,1,0.0038831993006169,JPEG-Quality-70
stable-diffusion-v1-511.png,1,0.0070264041423797,Crop-20%
stable-diffusion-v1-511.png,1,0.005945086479187,Crop-40%
stable-diffusion-v1-511.png,1,0.011313360184431,Rotation-20deg
stable-diffusion-v1-511.png,1,0.0200573280453681,Rotation-40deg
stable-diffusion-v1-511.png,1,0.0038491792511194,Scale-140%
stable-diffusion-v1-511.png,1,0.0057459524832665,Scale-60%
stable-diffusion-v1-511.png,1,0.0038333064876496,Blur-Radius-0.5px
stable-diffusion-v1-511.png,1,0.0055612828582525,Blur-Radius-1px
stable-diffusion-v1-512.png,1,0.0107874311506748,none
stable-diffusion-v1-512.png,1,0.0100296717137098,JPEG-Quality-85
stable-diffusion-v1-512.png,1,0.0095277531072497,JPEG-Quality-70
stable-diffusion-v1-512.png,1,0.0083995824679732,Crop-20%
stable-diffusion-v1-512.png,1,0.0150574976578354,Crop-40%
stable-diffusion-v1-512.png,1,0.0107071660459041,Rotation-20deg
stable-diffusion-v1-512.png,1,0.0259898006916046,Rotation-40deg
stable-diffusion-v1-512.png,1,0.0104443151503801,Scale-140%
stable-diffusion-v1-512.png,1,0.0076099280267953,Scale-60%
stable-diffusion-v1-512.png,1,0.0095458477735519,Blur-Radius-0.5px
stable-diffusion-v1-512.png,1,0.0106125809252262,Blur-Radius-1px
stable-diffusion-v1-513.png,1,0.0068897232413291,none
stable-diffusion-v1-513.png,1,0.0070464396849274,JPEG-Quality-85
stable-diffusion-v1-513.png,1,0.0084875170141458,JPEG-Quality-70
stable-diffusion-v1-513.png,1,0.007246755529195,Crop-20%
stable-diffusion-v1-513.png,1,0.0105506954714655,Crop-40%
stable-diffusion-v1-513.png,1,0.0075547574087977,Rotation-20deg
stable-diffusion-v1-513.png,1,0.01405506208539,Rotation-40deg
