file_name,AI,MSE,steps,time
stable-diffusion-v1-50.png,1,0.026987558230757713,10,6.285767154000041
stable-diffusion-v1-50.png,1,0.0102196354418993,25,7.480349347000356
stable-diffusion-v1-50.png,1,0.004087432753294706,50,14.870906750999893
stable-diffusion-v1-51.png,1,0.07331529259681702,10,4.002386471000136
stable-diffusion-v1-51.png,1,0.0710972249507904,25,7.537953716999709
stable-diffusion-v1-51.png,1,0.0741618424654007,50,15.033306855999854
stable-diffusion-v1-52.png,1,0.03132716938853264,10,3.7709678639998856
stable-diffusion-v1-52.png,1,0.009185345843434334,25,7.604611255000236
stable-diffusion-v1-52.png,1,0.002982145408168435,50,15.2184515189997
stable-diffusion-v1-53.png,1,0.026959093287587166,10,3.7701955560000897
stable-diffusion-v1-53.png,1,0.02487669512629509,25,7.68943908700021
stable-diffusion-v1-53.png,1,0.013700655661523342,50,15.320736855000177
stable-diffusion-v1-54.png,1,0.0335773341357708,10,4.171884709000096
stable-diffusion-v1-54.png,1,0.026361852884292603,25,7.77871984300009
stable-diffusion-v1-54.png,1,0.013138916343450546,50,15.455637363999813
stable-diffusion-v1-55.png,1,0.046165332198143005,10,3.831111569999848
stable-diffusion-v1-55.png,1,0.10667754709720612,25,7.750717280000117
stable-diffusion-v1-55.png,1,0.13558471202850342,50,15.346781599000224
stable-diffusion-v1-56.png,1,0.023867230862379074,10,3.808896175999962
stable-diffusion-v1-56.png,1,0.006143039558082819,25,7.740798416999951
stable-diffusion-v1-56.png,1,0.008800912648439407,50,15.33946163499968
stable-diffusion-v1-57.png,1,0.019108671694993973,10,3.841381079999792
stable-diffusion-v1-57.png,1,0.0036150109954178333,25,7.748674042999937
stable-diffusion-v1-57.png,1,0.0011031735921278596,50,15.35863878400005
stable-diffusion-v1-58.png,1,0.027190444990992546,10,3.8394027180002013
stable-diffusion-v1-58.png,1,0.011084135621786118,25,7.771067915999993
stable-diffusion-v1-58.png,1,0.004502968862652779,50,15.374680508999973
stable-diffusion-v1-59.png,1,0.016887927427887917,10,3.8588876539997727
stable-diffusion-v1-59.png,1,0.005941946059465408,25,7.7560801880003964
stable-diffusion-v1-59.png,1,0.003262176876887679,50,15.373284166999838
stable-diffusion-v1-510.png,1,0.05259479582309723,10,3.84474854400014
stable-diffusion-v1-510.png,1,0.019221339374780655,25,7.74699512899997
stable-diffusion-v1-510.png,1,0.005213333293795586,50,15.375558785000067
stable-diffusion-v1-511.png,1,0.015108972787857056,10,3.8281460839998545
stable-diffusion-v1-511.png,1,0.00370782520622015,25,7.739611672999672
stable-diffusion-v1-511.png,1,0.0012200032360851765,50,15.361912574000144
stable-diffusion-v1-512.png,1,0.04024657979607582,10,3.7840116980000857
stable-diffusion-v1-512.png,1,0.01078743115067482,25,7.752515887999834
stable-diffusion-v1-512.png,1,0.0033071585930883884,50,15.369724314999985
stable-diffusion-v1-513.png,1,0.023249991238117218,10,4.0320618730002025
stable-diffusion-v1-513.png,1,0.006889723241329193,25,7.743898815999728
stable-diffusion-v1-513.png,1,0.0024394504725933075,50,15.371091356999841
stable-diffusion-v1-514.png,1,0.06355583667755127,10,3.812556180000229
stable-diffusion-v1-514.png,1,0.028305280953645706,25,7.744609592000415
stable-diffusion-v1-514.png,1,0.018559901043772697,50,15.366801951999605
stable-diffusion-v1-515.png,1,0.041647911071777344,10,3.83338287100014
stable-diffusion-v1-515.png,1,0.015010432340204716,25,7.758954377000009
stable-diffusion-v1-515.png,1,0.008111612871289253,50,15.36498668000013
stable-diffusion-v1-516.png,1,0.10865403711795807,10,3.826900824000404
stable-diffusion-v1-516.png,1,0.034357424825429916,25,7.7500574190003135
stable-diffusion-v1-516.png,1,0.022661183029413223,50,15.372312634000082
stable-diffusion-v1-517.png,1,0.02983572706580162,10,3.7893920639999124
stable-diffusion-v1-517.png,1,0.013297964818775654,25,7.7463181930002065
stable-diffusion-v1-517.png,1,0.006318647414445877,50,15.342661926000346
stable-diffusion-v1-518.png,1,0.054335128515958786,10,3.8275967839999794
stable-diffusion-v1-518.png,1,0.0166495181620121,25,7.743406756999775
stable-diffusion-v1-518.png,1,0.005842776037752628,50,15.366858453000077
stable-diffusion-v1-519.png,1,0.05185029283165932,10,3.8458291810002265
stable-diffusion-v1-519.png,1,0.022160205990076065,25,7.755013202999635
stable-diffusion-v1-519.png,1,0.00797443650662899,50,15.366619564999837
stable-diffusion-v1-520.png,1,0.05888746678829193,10,3.867914049999854
stable-diffusion-v1-520.png,1,0.02771107479929924,25,7.742548887000339
stable-diffusion-v1-520.png,1,0.016142919659614563,50,15.373797383999772
stable-diffusion-v1-521.png,1,0.044557616114616394,10,3.807835457999772
stable-diffusion-v1-521.png,1,0.04236844927072525,25,7.750187430000096
stable-diffusion-v1-521.png,1,0.021458160132169724,50,15.376507302999926
stable-diffusion-v1-522.png,1,0.025801286101341248,10,3.9243216939999
stable-diffusion-v1-522.png,1,0.007369375787675381,25,7.740813616000196
stable-diffusion-v1-522.png,1,0.0022449924144893885,50,15.35590705300001
stable-diffusion-v1-523.png,1,0.014400769956409931,10,3.8303870859999734
stable-diffusion-v1-523.png,1,0.0029657557606697083,25,7.750760437999816
stable-diffusion-v1-523.png,1,0.001091573154553771,50,15.355429764000291
stable-diffusion-v1-524.png,1,0.11778251081705093,10,3.811814681999749
stable-diffusion-v1-524.png,1,0.06574536114931107,25,7.749037567999949
stable-diffusion-v1-524.png,1,0.04524298757314682,50,15.350342805999844
stable-diffusion-v1-525.png,1,0.021567292511463165,10,3.8115216400001373
stable-diffusion-v1-525.png,1,0.005366679280996323,25,7.75276706600016
stable-diffusion-v1-525.png,1,0.002461094409227371,50,15.354925475000073
stable-diffusion-v1-526.png,1,0.011677127331495285,10,3.8602583279998726
stable-diffusion-v1-526.png,1,0.0040811896324157715,25,7.746034529000099
stable-diffusion-v1-526.png,1,0.0024136067368090153,50,15.337396826999793
stable-diffusion-v1-527.png,1,0.05937711149454117,10,3.845769981000103
stable-diffusion-v1-527.png,1,0.06320232152938843,25,7.743751446999795
stable-diffusion-v1-527.png,1,0.03892431780695915,50,15.363063174000217
stable-diffusion-v1-528.png,1,0.03345467895269394,10,4.337308228999973
stable-diffusion-v1-528.png,1,0.00827461201697588,25,7.736066601999937
stable-diffusion-v1-528.png,1,0.003054529894143343,50,15.367391298999792
stable-diffusion-v1-529.png,1,0.02819512039422989,10,3.8314293859998543
stable-diffusion-v1-529.png,1,0.015487752854824066,25,7.774672994999946
stable-diffusion-v1-529.png,1,0.008635761216282845,50,15.365536652999708
stable-diffusion-v1-530.png,1,0.01725340634584427,10,3.83885540700021
stable-diffusion-v1-530.png,1,0.013466278091073036,25,7.76075620499978
stable-diffusion-v1-530.png,1,0.04666467756032944,50,15.376755882999987
stable-diffusion-v1-531.png,1,0.04586773365736008,10,3.80957510799999
stable-diffusion-v1-531.png,1,0.021070988848805428,25,7.757584787000269
stable-diffusion-v1-531.png,1,0.009411526843905449,50,15.356323853000049
stable-diffusion-v1-532.png,1,0.029254402965307236,10,3.903558719999637
stable-diffusion-v1-532.png,1,0.010122432373464108,25,7.734429821000049
stable-diffusion-v1-532.png,1,0.0042823972180485725,50,15.358708637999825
stable-diffusion-v1-533.png,1,0.0427781343460083,10,3.7898077090003426
stable-diffusion-v1-533.png,1,0.016891511157155037,25,7.7490121260002525
stable-diffusion-v1-533.png,1,0.006644498556852341,50,15.407921170000009
stable-diffusion-v1-534.png,1,0.03227587789297104,10,3.7701655770001707
stable-diffusion-v1-534.png,1,0.016364868730306625,25,7.755244566999863
stable-diffusion-v1-534.png,1,0.008777059614658356,50,15.351517769000111
stable-diffusion-v1-535.png,1,0.01305735670030117,10,3.8238315680000596
stable-diffusion-v1-535.png,1,0.003992793150246143,25,7.740332042999853
stable-diffusion-v1-535.png,1,0.0013958814088255167,50,15.367291644000034
stable-diffusion-v1-536.png,1,0.018568234518170357,10,3.845685011000114
stable-diffusion-v1-536.png,1,0.0046660504303872585,25,7.760908294999808
stable-diffusion-v1-536.png,1,0.0017718308372423053,50,15.364900219999981
stable-diffusion-v1-537.png,1,0.030390940606594086,10,3.776679538999815
stable-diffusion-v1-537.png,1,0.014530327171087265,25,7.748016882000229
stable-diffusion-v1-537.png,1,0.007462539244443178,50,15.36178793099998
stable-diffusion-v1-538.png,1,0.02649962529540062,10,3.8172591429997738
stable-diffusion-v1-538.png,1,0.0076799397356808186,25,7.752094693999879
stable-diffusion-v1-538.png,1,0.0019413442350924015,50,15.345898180999939
stable-diffusion-v1-539.png,1,0.02205314114689827,10,3.7972058710001875
stable-diffusion-v1-539.png,1,0.010567090474069118,25,7.740290017999996
stable-diffusion-v1-539.png,1,0.005808008369058371,50,15.373371445999965
stable-diffusion-v1-540.png,1,0.0216751080006361,10,3.8056728480000857
stable-diffusion-v1-540.png,1,0.01065149623900652,25,7.7502362139998695
stable-diffusion-v1-540.png,1,0.0052245017141103745,50,15.354168839000067
stable-diffusion-v1-541.png,1,0.017513342201709747,10,3.8151317309998376
stable-diffusion-v1-541.png,1,0.004587560426443815,25,7.74465353100004
stable-diffusion-v1-541.png,1,0.001921406714245677,50,15.372521431000223
stable-diffusion-v1-542.png,1,0.05782588943839073,10,3.842633624999962
stable-diffusion-v1-542.png,1,0.01150982640683651,25,7.736935446999723
stable-diffusion-v1-542.png,1,0.0027871467173099518,50,15.342425119999916
stable-diffusion-v1-543.png,1,0.030731964856386185,10,3.827720707000026
stable-diffusion-v1-543.png,1,0.008898956701159477,25,7.749650484000085
stable-diffusion-v1-543.png,1,0.0025890395045280457,50,15.367852054000195
stable-diffusion-v1-544.png,1,0.03256937861442566,10,3.8698008589999517
stable-diffusion-v1-544.png,1,0.009208055213093758,25,7.749745384000107
stable-diffusion-v1-544.png,1,0.0030159023590385914,50,15.362877126000058
stable-diffusion-v1-545.png,1,0.024035310372710228,10,3.7859993130000476
stable-diffusion-v1-545.png,1,0.009033991023898125,25,7.751478426999711
stable-diffusion-v1-545.png,1,0.003960102330893278,50,15.36865282000008
stable-diffusion-v1-546.png,1,0.03323937952518463,10,3.792319325000335
stable-diffusion-v1-546.png,1,0.01527268998324871,25,7.7682090530001915
stable-diffusion-v1-546.png,1,0.005066195502877235,50,15.382779205000134
stable-diffusion-v1-547.png,1,0.06136901676654816,10,3.824413688000277
stable-diffusion-v1-547.png,1,0.046099305152893066,25,7.760872033999931
stable-diffusion-v1-547.png,1,0.03151368722319603,50,15.377600051999707
stable-diffusion-v1-548.png,1,0.018196910619735718,10,3.9016658150003423
stable-diffusion-v1-548.png,1,0.004384571686387062,25,7.750399278999794
stable-diffusion-v1-548.png,1,0.0014933894854038954,50,15.35982995400036
stable-diffusion-v1-549.png,1,0.026368828490376472,10,3.8387280039996767
stable-diffusion-v1-549.png,1,0.007110593840479851,25,7.752995703000124
stable-diffusion-v1-549.png,1,0.0017725464422255754,50,15.371361921999778
lsun-bedrooms0.png,0,0.06155680865049362,10,8.584119828999974
lsun-bedrooms0.png,0,0.03548034280538559,25,7.741899337999712
lsun-bedrooms0.png,0,0.031638290733098984,50,15.423626210999828
lsun-bedrooms1.png,0,0.06374722719192505,10,3.920836206999411
lsun-bedrooms1.png,0,0.037672895938158035,25,7.793332055999599
lsun-bedrooms1.png,0,0.04273247718811035,50,15.38983845599978
lsun-bedrooms2.png,0,0.03609241545200348,10,3.7663152139994054
lsun-bedrooms2.png,0,0.08260288089513779,25,7.746207991000119
lsun-bedrooms2.png,0,0.08097182214260101,50,15.361243924000519
lsun-bedrooms3.png,0,0.04826902598142624,10,3.84307397900011
lsun-bedrooms3.png,0,0.03823908790946007,25,7.7448252620006315
lsun-bedrooms3.png,0,0.017975926399230957,50,15.362724167000124
lsun-bedrooms4.png,0,0.04459643363952637,10,3.8819221670000843
lsun-bedrooms4.png,0,0.012383230961859226,25,7.751163777999864
lsun-bedrooms4.png,0,0.009328843094408512,50,15.3904040540001
lsun-bedrooms5.png,0,0.052191972732543945,10,3.8387243170000147
lsun-bedrooms5.png,0,0.08139801025390625,25,7.735597132999828
lsun-bedrooms5.png,0,0.05432011932134628,50,15.389059190999433
lsun-bedrooms6.png,0,0.0979280024766922,10,3.8759853840001597
lsun-bedrooms6.png,0,0.1376248002052307,25,7.753179819000252
lsun-bedrooms6.png,0,0.13519355654716492,50,15.359601416999794
lsun-bedrooms7.png,0,0.08126256614923477,10,3.906212207999488
lsun-bedrooms7.png,0,0.039703987538814545,25,7.7506508050000775
lsun-bedrooms7.png,0,0.02262476086616516,50,15.362980828000218
lsun-bedrooms8.png,0,0.07293301075696945,10,4.062547432000429
lsun-bedrooms8.png,0,0.04387039318680763,25,7.737894132000292
lsun-bedrooms8.png,0,0.025059513747692108,50,15.374077559999932
lsun-bedrooms9.png,0,0.0514603927731514,10,4.56400745999963
lsun-bedrooms9.png,0,0.0200553797185421,25,7.751470930000323
lsun-bedrooms9.png,0,0.010289516299962997,50,15.376980904999982
lsun-bedrooms10.png,0,0.03583274409174919,10,3.8213015419996736
lsun-bedrooms10.png,0,0.021461544558405876,25,7.760865256000216
lsun-bedrooms10.png,0,0.013217615894973278,50,15.399668887999724
lsun-bedrooms11.png,0,0.07624741643667221,10,3.765723065000202
lsun-bedrooms11.png,0,0.03467017412185669,25,7.747753034999732
lsun-bedrooms11.png,0,0.025270627811551094,50,15.35940586400011
lsun-bedrooms12.png,0,0.22431516647338867,10,3.852098745999683
lsun-bedrooms12.png,0,0.22557181119918823,25,7.742384471999685
lsun-bedrooms12.png,0,0.13445375859737396,50,15.384626532999391
lsun-bedrooms13.png,0,0.055324532091617584,10,4.042255063999619
lsun-bedrooms13.png,0,0.029125604778528214,25,7.748517596999591
lsun-bedrooms13.png,0,0.02418162301182747,50,15.353605699000582
lsun-bedrooms14.png,0,0.048652470111846924,10,3.827628138000364
lsun-bedrooms14.png,0,0.11876173317432404,25,7.756590517000404
lsun-bedrooms14.png,0,0.11466158181428909,50,15.385372630000347
lsun-bedrooms15.png,0,0.12465448677539825,10,3.8312381019995883
lsun-bedrooms15.png,0,0.11482156068086624,25,7.753922988999875
lsun-bedrooms15.png,0,0.04713251069188118,50,15.362596906999897
lsun-bedrooms16.png,0,0.04748927801847458,10,3.852107941000213
lsun-bedrooms16.png,0,0.01598411425948143,25,7.734785518000535
lsun-bedrooms16.png,0,0.0060744257643818855,50,15.366683537999961
lsun-bedrooms17.png,0,0.1019928902387619,10,3.811427681999703
lsun-bedrooms17.png,0,0.13664081692695618,25,7.751180621000458
lsun-bedrooms17.png,0,0.09765059500932693,50,15.368197404999592
lsun-bedrooms18.png,0,0.0541163869202137,10,4.0291841460002615
lsun-bedrooms18.png,0,0.03926372900605202,25,7.754361921000054
lsun-bedrooms18.png,0,0.10910962522029877,50,15.380156211999747
lsun-bedrooms19.png,0,0.18356335163116455,10,4.187234519999947
lsun-bedrooms19.png,0,0.1986873596906662,25,7.755448535000141
lsun-bedrooms19.png,0,0.1793806403875351,50,15.367770516999371
lsun-bedrooms20.png,0,0.03616035729646683,10,3.7895513469993602
lsun-bedrooms20.png,0,0.021028729155659676,25,7.75003901800028
lsun-bedrooms20.png,0,0.012590783648192883,50,15.371771498000271
lsun-bedrooms21.png,0,0.10368631035089493,10,3.802017312999851
lsun-bedrooms21.png,0,0.06103183329105377,25,7.742994555999758
